No.,File Name,Pole Number,Location,Full Address,Latitude,Longitude,GPS Coordinates,Date/Time,Captured By,Uploaded By,Status
1,ABKU4865.JPG,LAW-P-1000,"Lawley, Gauteng, South Africa","Piranha Crescent, Lawley, Lawley, Gauteng 1830, South Africa",-26.378638,27.800381,"-26.378638, 27.800381","7/23/25, 12:10 PM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
2,ABOW5086.JPG,LAW-P-1001,"Lawley, Gauteng, South Africa","Lawley Road, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.368556,27.818473,"-26.368556, 27.818473","7/23/25, 11:03 AM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
3,AEJD0192.JPG,LAW-P-1002,"Lawley, Gauteng, South Africa","2nd Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.369585,27.803513,"-26.369585, 27.803513","7/23/25, 9:30 AM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
4,AFKK3290.JPG,LAW-P-1003,"Lawley, Gauteng, South Africa","3rd Avenue, Lawley, Lawley, Gauteng 1830, South Africa",-26.392052,27.807291,"-26.392052, 27.807291","7/23/25, 9:20 AM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
5,AGJO0968.JPG,LAW-P-1004,"Lawley, Gauteng, South Africa","Market Street, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.393068,27.819529,"-26.393068, 27.819529","7/23/25, 1:17 PM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
6,ALDT8478.JPG,LAW-P-1005,"Lawley, Gauteng, South Africa","Main Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.389182,27.811025,"-26.389182, 27.811025","7/23/25, 1:55 PM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
7,ANGT3574.JPG,LAW-P-1006,"Lawley, Gauteng, South Africa","Church Street, Lawley, Lawley, Gauteng 1830, South Africa",-26.364389,27.802318,"-26.364389, 27.802318","7/23/25, 9:25 AM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
8,AQXY9444.JPG,LAW-P-1007,"Lawley, Gauteng, South Africa","School Street, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.383677,27.814149,"-26.383677, 27.814149","7/23/25, 12:01 PM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
9,ARDJ2862.JPG,LAW-P-1008,"Lawley, Gauteng, South Africa","Mandela Street, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.399132,27.801025,"-26.399132, 27.801025","7/23/25, 3:59 PM GMT+02:00",GPS Map Camera,ettienejvr@gmail.com,Captured
10,ARGS9536.JPG,LAW-P-1009,"Lawley, Gauteng, South Africa","2nd Avenue, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.37387,27.810132,"-26.37387, 27.810132",07/23/2025 02:05 PM GMT+02:00,GPS Map Camera,ettienejvr@gmail.com,Captured
