No.,File Name,Pole ID,Location,Full Address,Latitude,Longitude,GPS Coordinates,Date/Time,Status
1,ABKU4865.JPG,ETT-0001,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
2,ABOW5086.JPG,ETT-0002,"Lawley, Gauteng, South Africa","Barracuda Road, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.389451,27.807816,"-26.389451, 27.807816",07/23/2025 10:57 AM GMT+02:00,Extracted
3,AEJD0192.JPG,ETT-0003,"Lawley, Gauteng, South Africa","3rd Avenue, Elandsfontein, Lawley, Gauteng 1830, South Africa",-26.387176,27.806611,"-26.387176, 27.806611",07/23/2025 10:26 AM GMT+02:00,Extracted
4,AFKK3290.JPG,ETT-0004,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
5,AGJO0968.JPG,ETT-0005,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
6,ALDT8478.JPG,ETT-0006,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
7,ANGT3574.JPG,ETT-0007,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
8,AQXY9444.JPG,ETT-0008,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
9,ARDJ2862.JPG,ETT-0009,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
10,ARGS9536.JPG,ETT-0010,"Lawley, Gauteng, South Africa","2nd Avenue, Lawley Extento, Lawley, Gauteng 1830, South Africa",-26.37387,27.810132,"-26.37387, 27.810132",07/23/2025 02:05 PM GMT+02:00,Extracted
11,ARZV1695.JPG,ETT-0011,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
12,ASFR5899.JPG,ETT-0012,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
13,AVQE2541.JPG,ETT-0013,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
14,AXWD8963.JPG,ETT-0014,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
15,BAHM3423.JPG,ETT-0015,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
16,BBFL7303.JPG,ETT-0016,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
17,BBNO8820.JPG,ETT-0017,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
18,BIZJ8490.JPG,ETT-0018,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
19,BMCZ3397.JPG,ETT-0019,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
20,BMES8191.JPG,ETT-0020,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
21,BNZL9622.JPG,ETT-0021,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
22,BOTI0083.JPG,ETT-0022,"Lawley, Gauteng, South Africa",Pending manual extraction,,,,,Pending
